rank;title;revenue;ceo;title;sector;industry;hq;website;years;employees
352;Zimmer Biomet Holdings;$7,684;NA;NA;NA;NA;NA;NA;NA;NA;
353;PulteGroup;$7,669;NA;NA;NA;NA;NA;NA;NA;NA;
354;W.R. Berkley;$7,654;NA;NA;NA;NA;NA;NA;NA;NA;
355;Quanta Services;$7,651;NA;NA;NA;NA;NA;NA;NA;NA;
356;EOG Resources;$7,651;NA;NA;NA;NA;NA;NA;NA;NA;
357;Charles Schwab;$7,644;NA;NA;NA;NA;NA;NA;NA;NA;
358;Eversource Energy;$7,639;NA;NA;NA;NA;NA;NA;NA;NA;
359;Anixter International;$7,625;NA;NA;NA;NA;NA;NA;NA;NA;
360;EMCOR Group;$7,552;NA;NA;NA;NA;NA;NA;NA;NA;
361;Assurant;$7,532;NA;NA;NA;NA;NA;NA;NA;NA;
362;CenterPoint Energy;$7,528;NA;NA;NA;NA;NA;NA;NA;NA;
363;Harris;$7,527;NA;NA;NA;NA;NA;NA;NA;NA;
364;HD Supply Holdings;$7,524;NA;NA;NA;NA;NA;NA;NA;NA;
365;PPL;$7,517;NA;NA;NA;NA;NA;NA;NA;NA;
366;Quest Diagnostics;$7,515;NA;NA;NA;NA;NA;NA;NA;NA;
367;Williams;$7,499;NA;NA;NA;NA;NA;NA;NA;NA;
368;WEC Energy Group;$7,472;NA;NA;NA;NA;NA;NA;NA;NA;
369;Hershey;$7,440;NA;NA;NA;NA;NA;NA;NA;NA;
370;AGCO;$7,411;NA;NA;NA;NA;NA;NA;NA;NA;
371;Ralph Lauren;$7,405;NA;NA;NA;NA;NA;NA;NA;NA;
372;Masco;$7,357;NA;NA;NA;NA;NA;NA;NA;NA;
373;WESCO International;$7,336;NA;NA;NA;NA;NA;NA;NA;NA;
374;LifePoint Health;$7,274;NA;NA;NA;NA;NA;NA;NA;NA;
375;National Oilwell Varco;$7,251;NA;NA;NA;NA;NA;NA;NA;NA;
376;Kindred Healthcare;$7,227;NA;NA;NA;NA;NA;NA;NA;NA;
377;Mosaic;$7,163;NA;NA;NA;NA;NA;NA;NA;NA;
378;Alliance Data Systems;$7,138;NA;NA;NA;NA;NA;NA;NA;NA;
379;Computer Sciences;$7,106;NA;NA;NA;NA;NA;NA;NA;NA;
380;Huntington Ingalls Industries;$7,068;NA;NA;NA;NA;NA;NA;NA;NA;
381;Leidos Holdings;$7,043;NA;NA;NA;NA;NA;NA;NA;NA;
382;Erie Insurance Group;$7,016;NA;NA;NA;NA;NA;NA;NA;NA;
383;Tesla;$7,000;NA;NA;NA;NA;NA;NA;NA;NA;
384;Ascena Retail Group;$6,995;NA;NA;NA;NA;NA;NA;NA;NA;
385;Darden Restaurants;$6,934;NA;NA;NA;NA;NA;NA;NA;NA;
386;Harman International Industries;$6,912;NA;NA;NA;NA;NA;NA;NA;NA;
387;Nvidia;$6,910;NA;NA;NA;NA;NA;NA;NA;NA;
388;R.R. Donnelley & Sons;$6,896;NA;NA;NA;NA;NA;NA;NA;NA;
389;Fifth Third Bancorp;$6,889;NA;NA;NA;NA;NA;NA;NA;NA;
390;Quintiles IMS Holdings;$6,878;NA;NA;NA;NA;NA;NA;NA;NA;
391;Jones Lang LaSalle;$6,804;NA;NA;NA;NA;NA;NA;NA;NA;
392;Dover;$6,794;NA;NA;NA;NA;NA;NA;NA;NA;
393;Spirit AeroSystems Holdings;$6,793;NA;NA;NA;NA;NA;NA;NA;NA;
394;Ryder System;$6,787;NA;NA;NA;NA;NA;NA;NA;NA;
395;A-Mark Precious Metals;$6,784;NA;NA;NA;NA;NA;NA;NA;NA;
396;Tractor Supply;$6,780;NA;NA;NA;NA;NA;NA;NA;NA;
397;Sealed Air;$6,778;NA;NA;NA;NA;NA;NA;NA;NA;
398;Auto-Owners Insurance;$6,775;NA;NA;NA;NA;NA;NA;NA;NA;
399;Yum China Holdings;$6,752;NA;NA;NA;NA;NA;NA;NA;NA;
400;Calpine;$6,716;NA;NA;NA;NA;NA;NA;NA;NA;
401;Owens-Illinois;$6,702;NA;NA;NA;NA;NA;NA;NA;NA;
402;Targa Resources;$6,691;NA;NA;NA;NA;NA;NA;NA;NA;
403;JetBlue Airways;$6,632;NA;NA;NA;NA;NA;NA;NA;NA;
403;Jones Financial (Edward Jones);$6,632;NA;NA;NA;NA;NA;NA;NA;NA;
405;Franklin Resources;$6,618;NA;NA;NA;NA;NA;NA;NA;NA;
406;Activision Blizzard;$6,608;NA;NA;NA;NA;NA;NA;NA;NA;
407;J.B. Hunt Transport Services;$6,556;NA;NA;NA;NA;NA;NA;NA;NA;
408;Constellation Brands;$6,548;NA;NA;NA;NA;NA;NA;NA;NA;
409;NCR;$6,543;NA;NA;NA;NA;NA;NA;NA;NA;
410;Asbury Automotive Group;$6,528;NA;NA;NA;NA;NA;NA;NA;NA;
411;American Financial Group;$6,498;NA;NA;NA;NA;NA;NA;NA;NA;
412;Discovery Communications;$6,497;NA;NA;NA;NA;NA;NA;NA;NA;
413;Berry Global Group;$6,489;NA;NA;NA;NA;NA;NA;NA;NA;
414;Sanmina;$6,481;NA;NA;NA;NA;NA;NA;NA;NA;
415;CalAtlantic Group;$6,477;NA;NA;NA;NA;NA;NA;NA;NA;
416;Dr Pepper Snapple Group;$6,440;NA;NA;NA;NA;NA;NA;NA;NA;
417;Dillard’s;$6,418;NA;NA;NA;NA;NA;NA;NA;NA;
418;HRG Group;$6,403;NA;NA;NA;NA;NA;NA;NA;NA;
419;CMS Energy;$6,399;NA;NA;NA;NA;NA;NA;NA;NA;
420;Graybar Electric;$6,385;NA;NA;NA;NA;NA;NA;NA;NA;
421;Builders FirstSource;$6,367;NA;NA;NA;NA;NA;NA;NA;NA;
422;Yum Brands;$6,366;NA;NA;NA;NA;NA;NA;NA;NA;
423;Casey’s General Stores;$6,304;NA;NA;NA;NA;NA;NA;NA;NA;
424;Amphenol;$6,286;NA;NA;NA;NA;NA;NA;NA;NA;
425;Oshkosh;$6,279;NA;NA;NA;NA;NA;NA;NA;NA;
426;iHeartMedia;$6,274;NA;NA;NA;NA;NA;NA;NA;NA;
427;TreeHouse Foods;$6,175;NA;NA;NA;NA;NA;NA;NA;NA;
428;Alleghany;$6,131;NA;NA;NA;NA;NA;NA;NA;NA;
429;Expeditors International of Washington;$6,098;NA;NA;NA;NA;NA;NA;NA;NA;
430;Avery Dennison;$6,087;NA;NA;NA;NA;NA;NA;NA;NA;
431;Ameren;$6,076;NA;NA;NA;NA;NA;NA;NA;NA;
432;Hanesbrands;$6,063;NA;NA;NA;NA;NA;NA;NA;NA;
433;Motorola Solutions;$6,038;NA;NA;NA;NA;NA;NA;NA;NA;
434;St. Jude Medical;$6,004;NA;NA;NA;NA;NA;NA;NA;NA;
435;Harley-Davidson;$5,997;NA;NA;NA;NA;NA;NA;NA;NA;
436;Regions Financial;$5,967;NA;NA;NA;NA;NA;NA;NA;NA;
437;Intercontinental Exchange;$5,958;NA;NA;NA;NA;NA;NA;NA;NA;
438;Alaska Air Group;$5,931;NA;NA;NA;NA;NA;NA;NA;NA;
439;Old Republic International;$5,901;NA;NA;NA;NA;NA;NA;NA;NA;
440;Lam Research;$5,886;NA;NA;NA;NA;NA;NA;NA;NA;
441;AK Steel Holding;$5,883;NA;NA;NA;NA;NA;NA;NA;NA;
442;Rockwell Automation;$5,880;NA;NA;NA;NA;NA;NA;NA;NA;
443;Adobe Systems;$5,854;NA;NA;NA;NA;NA;NA;NA;NA;
444;Avon Products;$5,853;NA;NA;NA;NA;NA;NA;NA;NA;
445;Terex;$5,841;NA;NA;NA;NA;NA;NA;NA;NA;
446;NVR;$5,835;NA;NA;NA;NA;NA;NA;NA;NA;
447;Dana;$5,826;NA;NA;NA;NA;NA;NA;NA;NA;
448;Realogy Holdings;$5,810;NA;NA;NA;NA;NA;NA;NA;NA;
449;American Tower;$5,786;NA;NA;NA;NA;NA;NA;NA;NA;
450;Packaging Corp. of America;$5,779;NA;NA;NA;NA;NA;NA;NA;NA;
451;Citizens Financial Group;$5,763;NA;NA;NA;NA;NA;NA;NA;NA;
452;United Rentals;$5,762;NA;NA;NA;NA;NA;NA;NA;NA;
453;Clorox;$5,761;NA;NA;NA;NA;NA;NA;NA;NA;
454;Genesis Healthcare;$5,733;NA;NA;NA;NA;NA;NA;NA;NA;
455;M&T Bank Corp.;$5,722;NA;NA;NA;NA;NA;NA;NA;NA;
456;Ingredion;$5,704;NA;NA;NA;NA;NA;NA;NA;NA;
457;UGI;$5,686;NA;NA;NA;NA;NA;NA;NA;NA;
458;Owens Corning;$5,677;NA;NA;NA;NA;NA;NA;NA;NA;
459;S&P Global;$5,661;NA;NA;NA;NA;NA;NA;NA;NA;
460;Markel;$5,612;NA;NA;NA;NA;NA;NA;NA;NA;
461;Wyndham Worldwide;$5,599;NA;NA;NA;NA;NA;NA;NA;NA;
462;Arthur J. Gallagher;$5,595;NA;NA;NA;NA;NA;NA;NA;NA;
463;Burlington Stores;$5,591;NA;NA;NA;NA;NA;NA;NA;NA;
464;First American Financial;$5,576;NA;NA;NA;NA;NA;NA;NA;NA;
465;Symantec;$5,568;NA;NA;NA;NA;NA;NA;NA;NA;
466;Patterson;$5,555;NA;NA;NA;NA;NA;NA;NA;NA;
467;Olin;$5,551;NA;NA;NA;NA;NA;NA;NA;NA;
468;NetApp;$5,546;NA;NA;NA;NA;NA;NA;NA;NA;
469;Raymond James Financial;$5,520;NA;NA;NA;NA;NA;NA;NA;NA;
470;TravelCenters of America;$5,511;NA;NA;NA;NA;NA;NA;NA;NA;
471;Fiserv;$5,505;NA;NA;NA;NA;NA;NA;NA;NA;
472;Host Hotels & Resorts;$5,488;NA;NA;NA;NA;NA;NA;NA;NA;
473;Insight Enterprises;$5,486;NA;NA;NA;NA;NA;NA;NA;NA;
474;Mattel;$5,457;NA;NA;NA;NA;NA;NA;NA;NA;
475;AmTrust Financial Services;$5,451;NA;NA;NA;NA;NA;NA;NA;NA;
476;Cincinnati Financial;$5,449;NA;NA;NA;NA;NA;NA;NA;NA;
477;Simon Property Group;$5,435;NA;NA;NA;NA;NA;NA;NA;NA;
478;Western Union;$5,423;NA;NA;NA;NA;NA;NA;NA;NA;
479;KeyCorp;$5,422;NA;NA;NA;NA;NA;NA;NA;NA;
480;Delek US Holdings;$5,414;NA;NA;NA;NA;NA;NA;NA;NA;
481;Booz Allen Hamilton Holding;$5,406;NA;NA;NA;NA;NA;NA;NA;NA;
482;Chemours;$5,400;NA;NA;NA;NA;NA;NA;NA;NA;
483;Western & Southern Financial Group;$5,398;NA;NA;NA;NA;NA;NA;NA;NA;
484;Celanese;$5,389;NA;NA;NA;NA;NA;NA;NA;NA;
485;Windstream Holdings;$5,387;NA;NA;NA;NA;NA;NA;NA;NA;
486;Seaboard;$5,379;NA;NA;NA;NA;NA;NA;NA;NA;
487;Essendant;$5,369;NA;NA;NA;NA;NA;NA;NA;NA;
488;Apache;$5,354;NA;NA;NA;NA;NA;NA;NA;NA;
489;Airgas;$5,314;NA;NA;NA;NA;NA;NA;NA;NA;
490;Kelly Services;$5,277;NA;NA;NA;NA;NA;NA;NA;NA;
491;Liberty Media;$5,276;NA;NA;NA;NA;NA;NA;NA;NA;
492;Rockwell Collins;$5,259;NA;NA;NA;NA;NA;NA;NA;NA;
493;Robert Half International;$5,250;NA;NA;NA;NA;NA;NA;NA;NA;
494;CH2M Hill;$5,236;NA;NA;NA;NA;NA;NA;NA;NA;
495;Big Lots;$5,200;NA;NA;NA;NA;NA;NA;NA;NA;
496;Michaels Cos.;$5,197;NA;NA;NA;NA;NA;NA;NA;NA;
497;Toll Brothers;$5,170;NA;NA;NA;NA;NA;NA;NA;NA;
498;Yahoo;$5,169;NA;NA;NA;NA;NA;NA;NA;NA;
499;Vistra Energy;$5,164;NA;NA;NA;NA;NA;NA;NA;NA;
500;ABM Industries;$5,145;NA;NA;NA;NA;NA;NA;NA;NA;
501;Northern Trust;$5,144;NA;NA;NA;NA;NA;NA;NA;NA;
502;MasTec;$5,135;NA;NA;NA;NA;NA;NA;NA;NA;
503;Blackstone Group;$5,126;NA;NA;NA;NA;NA;NA;NA;NA;
504;Telephone & Data Systems;$5,104;NA;NA;NA;NA;NA;NA;NA;NA;
505;Domtar;$5,098;NA;NA;NA;NA;NA;NA;NA;NA;
506;Williams-Sonoma;$5,084;NA;NA;NA;NA;NA;NA;NA;NA;
507;Westlake Chemical;$5,076;NA;NA;NA;NA;NA;NA;NA;NA;
508;Post Holdings;$5,027;NA;NA;NA;NA;NA;NA;NA;NA;
509;Hasbro;$5,020;NA;NA;NA;NA;NA;NA;NA;NA;
510;Juniper Networks;$4,990;NA;NA;NA;NA;NA;NA;NA;NA;
511;Fortune Brands Home & Security;$4,985;NA;NA;NA;NA;NA;NA;NA;NA;
512;Brookdale Senior Living;$4,977;NA;NA;NA;NA;NA;NA;NA;NA;
513;Tutor Perini;$4,973;NA;NA;NA;NA;NA;NA;NA;NA;
514;Navient;$4,965;NA;NA;NA;NA;NA;NA;NA;NA;
515;Neiman Marcus Group;$4,950;NA;NA;NA;NA;NA;NA;NA;NA;
516;Ashland Global Holdings;$4,948;NA;NA;NA;NA;NA;NA;NA;NA;
517;Hanover Insurance Group;$4,946;NA;NA;NA;NA;NA;NA;NA;NA;
518;CommScope Holding;$4,924;NA;NA;NA;NA;NA;NA;NA;NA;
519;Spectra Energy;$4,916;NA;NA;NA;NA;NA;NA;NA;NA;
520;Cintas;$4,906;NA;NA;NA;NA;NA;NA;NA;NA;
521;Zoetis;$4,888;NA;NA;NA;NA;NA;NA;NA;NA;
522;Molson Coors Brewing;$4,885;NA;NA;NA;NA;NA;NA;NA;NA;
523;Regeneron Pharmaceuticals;$4,860;NA;NA;NA;NA;NA;NA;NA;NA;
524;Ulta Beauty;$4,855;NA;NA;NA;NA;NA;NA;NA;NA;
525;Hess;$4,844;NA;NA;NA;NA;NA;NA;NA;NA;
526;Magellan Health;$4,837;NA;NA;NA;NA;NA;NA;NA;NA;
527;Intuit;$4,831;NA;NA;NA;NA;NA;NA;NA;NA;
528;Under Armour;$4,825;NA;NA;NA;NA;NA;NA;NA;NA;
529;RPM International;$4,814;NA;NA;NA;NA;NA;NA;NA;NA;
530;Cerner;$4,797;NA;NA;NA;NA;NA;NA;NA;NA;
531;Sonoco Products;$4,783;NA;NA;NA;NA;NA;NA;NA;NA;
532;Securian Financial Group;$4,777;NA;NA;NA;NA;NA;NA;NA;NA;
533;Peabody Energy;$4,715;NA;NA;NA;NA;NA;NA;NA;NA;
534;YRC Worldwide;$4,698;NA;NA;NA;NA;NA;NA;NA;NA;
535;Commercial Metals;$4,652;NA;NA;NA;NA;NA;NA;NA;NA;
536;Marathon Oil;$4,650;NA;NA;NA;NA;NA;NA;NA;NA;
537;Polaris Industries;$4,595;NA;NA;NA;NA;NA;NA;NA;NA;
538;Envision Healthcare;$4,589;NA;NA;NA;NA;NA;NA;NA;NA;
539;Trinity Industries;$4,588;NA;NA;NA;NA;NA;NA;NA;NA;
540;Thor Industries;$4,582;NA;NA;NA;NA;NA;NA;NA;NA;
541;Caesars Entertainment;$4,555;NA;NA;NA;NA;NA;NA;NA;NA;
542;Levi Strauss;$4,553;NA;NA;NA;NA;NA;NA;NA;NA;
543;FMC Technologies;$4,542;NA;NA;NA;NA;NA;NA;NA;NA;
544;VWR;$4,514;NA;NA;NA;NA;NA;NA;NA;NA;
545;NiSource;$4,493;NA;NA;NA;NA;NA;NA;NA;NA;
546;Coach;$4,492;NA;NA;NA;NA;NA;NA;NA;NA;
547;Brunswick;$4,489;NA;NA;NA;NA;NA;NA;NA;NA;
548;Wynn Resorts;$4,466;NA;NA;NA;NA;NA;NA;NA;NA;
549;Orbital ATK;$4,455;NA;NA;NA;NA;NA;NA;NA;NA;
550;CIT Group;$4,453;NA;NA;NA;NA;NA;NA;NA;NA;
551;Science Applications International;$4,450;NA;NA;NA;NA;NA;NA;NA;NA;
552;Hyatt Hotels;$4,429;NA;NA;NA;NA;NA;NA;NA;NA;
553;McCormick;$4,412;NA;NA;NA;NA;NA;NA;NA;NA;
554;Diplomat Pharmacy;$4,410;NA;NA;NA;NA;NA;NA;NA;NA;
555;Barnes & Noble;$4,403;NA;NA;NA;NA;NA;NA;NA;NA;
556;Electronic Arts;$4,396;NA;NA;NA;NA;NA;NA;NA;NA;
557;FM Global;$4,374;NA;NA;NA;NA;NA;NA;NA;NA;
558;Coty;$4,349;NA;NA;NA;NA;NA;NA;NA;NA;
559;Smart & Final Stores;$4,342;NA;NA;NA;NA;NA;NA;NA;NA;
560;Quad/Graphics;$4,330;NA;NA;NA;NA;NA;NA;NA;NA;
561;Dynegy;$4,318;NA;NA;NA;NA;NA;NA;NA;NA;
562;Graphic Packaging Holding;$4,298;NA;NA;NA;NA;NA;NA;NA;NA;
563;Select Medical Holdings;$4,286;NA;NA;NA;NA;NA;NA;NA;NA;
564;Welltower;$4,281;NA;NA;NA;NA;NA;NA;NA;NA;
565;Advanced Micro Devices;$4,272;NA;NA;NA;NA;NA;NA;NA;NA;
566;USG;$4,269;NA;NA;NA;NA;NA;NA;NA;NA;
567;KBR;$4,268;NA;NA;NA;NA;NA;NA;NA;NA;
568;Bloomin’ Brands;$4,252;NA;NA;NA;NA;NA;NA;NA;NA;
569;MDU Resources Group;$4,252;NA;NA;NA;NA;NA;NA;NA;NA;
570;CSRA;$4,250;NA;NA;NA;NA;NA;NA;NA;NA;
571;Laureate Education;$4,244;NA;NA;NA;NA;NA;NA;NA;NA;
572;SCANA;$4,227;NA;NA;NA;NA;NA;NA;NA;NA;
573;T. Rowe Price;$4,223;NA;NA;NA;NA;NA;NA;NA;NA;
574;Watsco;$4,221;NA;NA;NA;NA;NA;NA;NA;NA;
575;Rush Enterprises;$4,215;NA;NA;NA;NA;NA;NA;NA;NA;
576;Agilent Technologies;$4,202;NA;NA;NA;NA;NA;NA;NA;NA;
577;WhiteWave Foods;$4,198;NA;NA;NA;NA;NA;NA;NA;NA;
578;Valspar;$4,191;NA;NA;NA;NA;NA;NA;NA;NA;
579;Total System Services;$4,170;NA;NA;NA;NA;NA;NA;NA;NA;
580;Torchmark;$4,158;NA;NA;NA;NA;NA;NA;NA;NA;
581;Cabela’s;$4,129;NA;NA;NA;NA;NA;NA;NA;NA;
582;Beacon Roofing Supply;$4,127;NA;NA;NA;NA;NA;NA;NA;NA;
583;CA;$4,052;NA;NA;NA;NA;NA;NA;NA;NA;
584;LPL Financial Holdings;$4,049;NA;NA;NA;NA;NA;NA;NA;NA;
585;Sprouts Farmers Market;$4,046;NA;NA;NA;NA;NA;NA;NA;NA;
586;Swift Transportation;$4,032;NA;NA;NA;NA;NA;NA;NA;NA;
587;Bemis;$4,004;NA;NA;NA;NA;NA;NA;NA;NA;
588;Tiffany;$4,002;NA;NA;NA;NA;NA;NA;NA;NA;
589;Flowserve;$3,992;NA;NA;NA;NA;NA;NA;NA;NA;
590;CNO Financial Group;$3,985;NA;NA;NA;NA;NA;NA;NA;NA;
591;Fastenal;$3,962;NA;NA;NA;NA;NA;NA;NA;NA;
592;Sally Beauty Holdings;$3,953;NA;NA;NA;NA;NA;NA;NA;NA;
593;American Axle & Manufacturing;$3,948;NA;NA;NA;NA;NA;NA;NA;NA;
594;Flowers Foods;$3,927;NA;NA;NA;NA;NA;NA;NA;NA;
595;Andersons;$3,925;NA;NA;NA;NA;NA;NA;NA;NA;
596;Crown Castle International;$3,921;NA;NA;NA;NA;NA;NA;NA;NA;
597;Boise Cascade;$3,911;NA;NA;NA;NA;NA;NA;NA;NA;
598;ON Semiconductor;$3,907;NA;NA;NA;NA;NA;NA;NA;NA;
599;Chipotle Mexican Grill;$3,904;NA;NA;NA;NA;NA;NA;NA;NA;
600;Amkor Technology;$3,894;NA;NA;NA;NA;NA;NA;NA;NA;
601;Triumph Group;$3,886;NA;NA;NA;NA;NA;NA;NA;NA;
602;OneMain Holdings;$3,883;NA;NA;NA;NA;NA;NA;NA;NA;
603;General Cable;$3,858;NA;NA;NA;NA;NA;NA;NA;NA;
604;Ametek;$3,840;NA;NA;NA;NA;NA;NA;NA;NA;
605;Alon USA Energy;$3,832;NA;NA;NA;NA;NA;NA;NA;NA;
606;Pioneer Natural Resources;$3,824;NA;NA;NA;NA;NA;NA;NA;NA;
607;Martin Marietta Materials;$3,819;NA;NA;NA;NA;NA;NA;NA;NA;
608;Ingles Markets;$3,795;NA;NA;NA;NA;NA;NA;NA;NA;
609;Roper Technologies;$3,790;NA;NA;NA;NA;NA;NA;NA;NA;
610;Huntington Bancshares;$3,782;NA;NA;NA;NA;NA;NA;NA;NA;
611;Xylem;$3,771;NA;NA;NA;NA;NA;NA;NA;NA;
612;Unified Grocers;$3,762;NA;NA;NA;NA;NA;NA;NA;NA;
613;Leggett & Platt;$3,750;NA;NA;NA;NA;NA;NA;NA;NA;
614;Dentsply Sirona;$3,745;NA;NA;NA;NA;NA;NA;NA;NA;
615;CACI International;$3,744;NA;NA;NA;NA;NA;NA;NA;NA;
616;Mead Johnson Nutrition;$3,743;NA;NA;NA;NA;NA;NA;NA;NA;
617;C.R. Bard;$3,714;NA;NA;NA;NA;NA;NA;NA;NA;
618;Snap-on;$3,712;NA;NA;NA;NA;NA;NA;NA;NA;
619;HealthSouth;$3,707;NA;NA;NA;NA;NA;NA;NA;NA;
620;Nasdaq;$3,705;NA;NA;NA;NA;NA;NA;NA;NA;
621;Avaya;$3,702;NA;NA;NA;NA;NA;NA;NA;NA;
622;CF Industries Holdings;$3,685;NA;NA;NA;NA;NA;NA;NA;NA;
623;Carlisle;$3,675;NA;NA;NA;NA;NA;NA;NA;NA;
624;Equinix;$3,661;NA;NA;NA;NA;NA;NA;NA;NA;
625;LSC Communications;$3,654;NA;NA;NA;NA;NA;NA;NA;NA;
626;Colfax;$3,647;NA;NA;NA;NA;NA;NA;NA;NA;
627;Lennox International;$3,642;NA;NA;NA;NA;NA;NA;NA;NA;
628;Iasis Healthcare;$3,638;NA;NA;NA;NA;NA;NA;NA;NA;
629;Silgan Holdings;$3,613;NA;NA;NA;NA;NA;NA;NA;NA;
630;American Eagle Outfitters;$3,610;NA;NA;NA;NA;NA;NA;NA;NA;
631;Moody’s;$3,604;NA;NA;NA;NA;NA;NA;NA;NA;
632;Calumet Specialty Products Partners;$3,599;NA;NA;NA;NA;NA;NA;NA;NA;
633;CME Group;$3,595;NA;NA;NA;NA;NA;NA;NA;NA;
634;KB Home;$3,595;NA;NA;NA;NA;NA;NA;NA;NA;
635;Vulcan Materials;$3,593;NA;NA;NA;NA;NA;NA;NA;NA;
636;Platform Specialty Products;$3,586;NA;NA;NA;NA;NA;NA;NA;NA;
637;Vantiv;$3,579;NA;NA;NA;NA;NA;NA;NA;NA;
638;Skechers U.S.A.;$3,577;NA;NA;NA;NA;NA;NA;NA;NA;
639;Zebra Technologies;$3,574;NA;NA;NA;NA;NA;NA;NA;NA;
640;Hub Group;$3,573;NA;NA;NA;NA;NA;NA;NA;NA;
641;HSN;$3,568;NA;NA;NA;NA;NA;NA;NA;NA;
642;Stericycle;$3,562;NA;NA;NA;NA;NA;NA;NA;NA;
643;National General Holdings;$3,550;NA;NA;NA;NA;NA;NA;NA;NA;
644;Taylor Morrison Home;$3,550;NA;NA;NA;NA;NA;NA;NA;NA;
645;Urban Outfitters;$3,546;NA;NA;NA;NA;NA;NA;NA;NA;
646;Resolute Forest Products;$3,545;NA;NA;NA;NA;NA;NA;NA;NA;
647;ScanSource;$3,540;NA;NA;NA;NA;NA;NA;NA;NA;
648;Camping World Holdings;$3,527;NA;NA;NA;NA;NA;NA;NA;NA;
649;Iron Mountain;$3,525;NA;NA;NA;NA;NA;NA;NA;NA;
650;Hubbell;$3,505;NA;NA;NA;NA;NA;NA;NA;NA;
651;Pinnacle West Capital;$3,499;NA;NA;NA;NA;NA;NA;NA;NA;
652;Church & Dwight;$3,493;NA;NA;NA;NA;NA;NA;NA;NA;
653;Noble Energy;$3,491;NA;NA;NA;NA;NA;NA;NA;NA;
654;Albemarle;$3,491;NA;NA;NA;NA;NA;NA;NA;NA;
655;Cooper-Standard Holdings;$3,473;NA;NA;NA;NA;NA;NA;NA;NA;
656;KKR;$3,461;NA;NA;NA;NA;NA;NA;NA;NA;
657;Country Financial;$3,458;NA;NA;NA;NA;NA;NA;NA;NA;
658;Ventas;$3,444;NA;NA;NA;NA;NA;NA;NA;NA;
659;Hexion;$3,438;NA;NA;NA;NA;NA;NA;NA;NA;
660;Analog Devices;$3,421;NA;NA;NA;NA;NA;NA;NA;NA;
661;Citrix Systems;$3,418;NA;NA;NA;NA;NA;NA;NA;NA;
662;Green Plains;$3,411;NA;NA;NA;NA;NA;NA;NA;NA;
663;Pitney Bowes;$3,407;NA;NA;NA;NA;NA;NA;NA;NA;
664;Scripps Networks Interactive;$3,401;NA;NA;NA;NA;NA;NA;NA;NA;
665;Darling Ingredients;$3,398;NA;NA;NA;NA;NA;NA;NA;NA;
666;Wayfair;$3,380;NA;NA;NA;NA;NA;NA;NA;NA;
667;Tailored Brands;$3,379;NA;NA;NA;NA;NA;NA;NA;NA;
668;Sabre;$3,373;NA;NA;NA;NA;NA;NA;NA;NA;
669;Global Payments;$3,371;NA;NA;NA;NA;NA;NA;NA;NA;
670;Atmos Energy;$3,350;NA;NA;NA;NA;NA;NA;NA;NA;
671;TEGNA;$3,341;NA;NA;NA;NA;NA;NA;NA;NA;
672;Diebold Nixdorf;$3,341;NA;NA;NA;NA;NA;NA;NA;NA;
673;PolyOne;$3,340;NA;NA;NA;NA;NA;NA;NA;NA;
674;TD Ameritrade Holding;$3,334;NA;NA;NA;NA;NA;NA;NA;NA;
675;Abercrombie & Fitch;$3,327;NA;NA;NA;NA;NA;NA;NA;NA;
676;Greif;$3,324;NA;NA;NA;NA;NA;NA;NA;NA;
677;Alliant Energy;$3,320;NA;NA;NA;NA;NA;NA;NA;NA;
678;American Water Works;$3,302;NA;NA;NA;NA;NA;NA;NA;NA;
679;Acuity Brands;$3,291;NA;NA;NA;NA;NA;NA;NA;NA;
680;Skyworks Solutions;$3,289;NA;NA;NA;NA;NA;NA;NA;NA;
681;FMC;$3,282;NA;NA;NA;NA;NA;NA;NA;NA;
682;Amerco;$3,276;NA;NA;NA;NA;NA;NA;NA;NA;
683;CUNA Mutual Group;$3,272;NA;NA;NA;NA;NA;NA;NA;NA;
684;Brinker International;$3,258;NA;NA;NA;NA;NA;NA;NA;NA;
685;Buckeye Partners;$3,248;NA;NA;NA;NA;NA;NA;NA;NA;
686;Warner Music Group;$3,246;NA;NA;NA;NA;NA;NA;NA;NA;
687;Universal Forest Products;$3,241;NA;NA;NA;NA;NA;NA;NA;NA;
688;American National Insurance;$3,228;NA;NA;NA;NA;NA;NA;NA;NA;
689;Mercury General;$3,228;NA;NA;NA;NA;NA;NA;NA;NA;
690;Regal Beloit;$3,225;NA;NA;NA;NA;NA;NA;NA;NA;
691;Varian Medical Systems;$3,218;NA;NA;NA;NA;NA;NA;NA;NA;
692;Aaron’s;$3,208;NA;NA;NA;NA;NA;NA;NA;NA;
693;Visteon;$3,206;NA;NA;NA;NA;NA;NA;NA;NA;
694;Carter’s;$3,199;NA;NA;NA;NA;NA;NA;NA;NA;
695;Meritor;$3,199;NA;NA;NA;NA;NA;NA;NA;NA;
696;Regal Entertainment Group;$3,197;NA;NA;NA;NA;NA;NA;NA;NA;
697;Mednax;$3,183;NA;NA;NA;NA;NA;NA;NA;NA;
698;TransDigm Group;$3,171;NA;NA;NA;NA;NA;NA;NA;NA;
699;Landstar System;$3,168;NA;NA;NA;NA;NA;NA;NA;NA;
700;Puget Energy;$3,164;NA;NA;NA;NA;NA;NA;NA;NA;
701;Coca-Cola Bottling;$3,156;NA;NA;NA;NA;NA;NA;NA;NA;
